,Player,Team,Position,Height,Weight,Birthdate
325,"Dellandrea, Ty  Dellandrea, Ty",FA,-,-,-,7/21/2000
326,"DeMelo, Dylan  DeMelo, Dylan",OTT,D,"6'1""",195,5/01/1993
327,"Demers, Jason  Demers, Jason",ARI,D,"6'1""",195,6/09/1988
328,"Demko, Thatcher  Demko, Thatcher",VAN,G,"6'4""",192,12/08/1995
329,"Der-Arguchintsev, Semyon  Der-Arguchintsev, Semyon",FA,-,-,-,9/15/2000
330,"Dermott, Travis  Dermott, Travis",TOR,D,"6'0""",204,12/22/1996
331,"DeSalvo, Dan  DeSalvo, Dan",CBJ,RW,"5'8""",172,3/06/1992
332,"DeSimone, Nick  DeSimone, Nick",SJ,D,"6'2""",185,11/21/1994
333,"Deslauriers, Nicolas  Deslauriers, Nicolas",MTL,LW,"6'1""",221,2/22/1991
334,"DeSmith, Casey  DeSmith, Casey",PIT,G,"6'0""",181,8/13/1991
335,"Despres, Simon  Despres, Simon",MTL,D,"6'4""",214,7/27/1991
336,"Desrosiers, Philippe  Desrosiers, Philippe",DAL,G,"6'1""",200,8/15/1995
337,"Devane, Jamie  Devane, Jamie",FA,-,-,-,2/20/1991
338,"Di Giuseppe, Phillip  Di Giuseppe, Phillip",CAR,RW,"6'0""",200,10/09/1993
339,"Di Giuseppe, Phillip  Di Giuseppe, Phillip",NSH,RW,"6'0""",200,10/09/1993
340,"Di Pauli, Thomas  Di Pauli, Thomas",PIT,C,"5'11""",188,4/29/1994
341,"Dickinson, Jason  Dickinson, Jason",DAL,C,"6'2""",200,7/04/1995
342,"Dickinson, Josh  Dickinson, Josh",FA,-,-,-,11/17/1997
343,"Didier, Josiah  Didier, Josiah",FA,-,-,-,4/08/1993
344,"Dillon, Brenden  Dillon, Brenden",SJ,D,"6'4""",225,11/13/1990
345,"DiPietro, Michael  DiPietro, Michael",VAN,G,"6'0""",192,6/09/1999
346,"Dirk, Jagger  Dirk, Jagger",VAN,D,"6'0""",198,5/04/1993
347,"Djoos, Christian  Djoos, Christian",WSH,D,"6'0""",169,8/06/1994
348,"Dobson, Noah  Dobson, Noah",FA,-,-,-,1/07/2000
349,"Domi, Max  Domi, Max",MTL,C,"5'10""",193,3/02/1995
350,"Domingue, Louis  Domingue, Louis",TB,G,"6'3""",210,3/06/1992
351,"Donato, Ryan  Donato, Ryan",MIN,C,"6'0""",193,4/09/1996
352,"Donovan, Matt  Donovan, Matt",NSH,D,"6'1""",205,5/09/1990
353,"Donskoi, Joonas  Donskoi, Joonas",SJ,RW,"6'0""",190,4/13/1992
354,"Dostal, Lukas  Dostal, Lukas",ANA,G,"6'1""",165,6/22/2000
355,"Dostie, Alex  Dostie, Alex",ANA,C,"5'10""",172,4/13/1997
356,"Dotchin, Jake  Dotchin, Jake",ANA,D,"6'3""",210,3/24/1994
357,"Dougherty, Jack  Dougherty, Jack",BUF,D,"6'1""",185,5/25/1996
358,"Doughty, Drew  Doughty, Drew",LA,D,"6'1""",202,12/08/1989
359,"Dowd, Nic  Dowd, Nic",WSH,C,"6'2""",197,5/27/1990
360,"Dowling, Justin  Dowling, Justin",DAL,C,"5'10""",180,10/01/1990
361,"Draisaitl, Leon  Draisaitl, Leon",EDM,C,"6'2""",208,10/27/1995
362,"Drew, Hunter  Drew, Hunter",ANA,D,"6'1""",190,10/21/1998
363,"Dries, Sheldon  Dries, Sheldon",COL,C,"5'9""",185,4/23/1994
364,"Drouin, Jonathan  Drouin, Jonathan",MTL,LW,"6'0""",193,3/28/1995
365,"Dube, Dillon  Dube, Dillon",CGY,LW,"5'10""",183,7/20/1998
366,"Dubinsky, Brandon  Dubinsky, Brandon",CBJ,C,"6'2""",205,4/29/1986
367,"Dubnyk, Devan  Dubnyk, Devan",MIN,G,"6'6""",224,5/04/1986
368,"Dubois, Pierre-Luc  Dubois, Pierre-Luc",CBJ,C,"6'3""",207,6/24/1998
369,"Ducharme, Justin  Ducharme, Justin",ANA,RW,"6'0""",179,2/22/2000
370,"Duchene, Matt  Duchene, Matt",CBJ,C,"5'11""",195,1/16/1991
371,"Duclair, Anthony  Duclair, Anthony",OTT,LW,"5'11""",191,8/26/1995
372,"Duke, Reid  Duke, Reid",FA,-,-,-,1/28/1996
373,"Dumba, Mathew  Dumba, Mathew",MIN,D,"6'0""",182,7/25/1994
374,"Dumont, Gabriel  Dumont, Gabriel",FA,-,-,-,10/06/1990
375,"Dumoulin, Brian  Dumoulin, Brian",PIT,D,"6'4""",207,9/06/1991
376,"Dunn, Vince  Dunn, Vince",STL,D,"6'0""",203,10/29/1996
377,"Durzi, Sean  Durzi, Sean",TOR,D,"6'0""",189,10/21/1998
378,"Dvorak, Christian  Dvorak, Christian",ARI,C,"6'0""",195,2/02/1996
379,"Dzingel, Ryan  Dzingel, Ryan",CBJ,LW,"6'0""",190,3/09/1992
380,"Eakin, Cody  Eakin, Cody",VGK,C,"6'0""",190,5/24/1991
381,"Eansor, Scott  Eansor, Scott",FA,-,-,-,1/03/1996
382,"Eaves, Patrick  Eaves, Patrick",ANA,RW,"5'11""",203,5/01/1984
383,"Eberle, Jordan  Eberle, Jordan",NYI,RW,"5'11""",187,5/15/1990
384,"Edler, Alexander  Edler, Alexander",VAN,D,"6'3""",212,4/21/1986
385,"Edmundson, Joel  Edmundson, Joel",STL,D,"6'4""",215,6/28/1993
386,"Ehlers, Nikolaj  Ehlers, Nikolaj",WPG,LW,"6'0""",172,2/14/1996
387,"Ehliz, Yasin  Ehliz, Yasin",FA,-,-,-,12/30/1992
388,"Ehn, Christoffer  Ehn, Christoffer",DET,C,"6'2""",193,4/05/1996
389,"Eichel, Jack  Eichel, Jack",BUF,C,"6'2""",206,10/28/1996
390,"Ejdsell, Victor  Ejdsell, Victor",FA,-,-,-,6/06/1995
391,"Ekblad, Aaron  Ekblad, Aaron",FLA,D,"6'4""",220,2/07/1996
392,"Ekholm, Mattias  Ekholm, Mattias",NSH,D,"6'4""",215,5/24/1990
393,"Ekman-Larsson, Oliver  Ekman-Larsson, Oliver",ARI,D,"6'2""",200,7/17/1991
394,"Elie, Remi  Elie, Remi",BUF,LW,"6'1""",215,4/16/1995
395,"Eller, Lars  Eller, Lars",WSH,C,"6'2""",207,5/08/1989
396,"Elliott, Brian  Elliott, Brian",PHI,G,"6'2""",209,4/09/1985
397,"Elliott, Stefan  Elliott, Stefan",OTT,D,"6'1""",190,1/30/1991
398,"Ellis, Ryan  Ellis, Ryan",NSH,D,"5'10""",180,1/03/1991
399,"Elvenes, Lucas  Elvenes, Lucas",FA,-,-,-,8/18/1999
400,"Elynuik, Hudson  Elynuik, Hudson",TOR,C,"6'6""",194,12/10/1997
401,"Emelin, Alexei  Emelin, Alexei",NSH,D,"6'2""",218,4/25/1986
402,"Engelland, Deryk  Engelland, Deryk",VGK,D,"6'2""",214,4/03/1982
403,"Englund, Andreas  Englund, Andreas",OTT,D,"6'3""",189,1/21/1996
404,"Engvall, Pierre  Engvall, Pierre",FA,-,-,-,5/31/1996
405,"Ennis, Tyler  Ennis, Tyler",TOR,LW,"5'9""",161,10/06/1989
406,"Enstrom, Toby  Enstrom, Toby",WPG,D,"5'10""",180,11/05/1984
407,"Entwistle, MacKenzie  Entwistle, MacKenzie",FA,-,-,-,7/14/1999
408,"Ericsson, Jonathan  Ericsson, Jonathan",DET,D,"6'4""",220,3/02/1984
409,"Eriksson, Loui  Eriksson, Loui",VAN,LW,"6'2""",179,7/17/1985
410,"Eriksson Ek, Joel  Eriksson Ek, Joel",MIN,C,"6'1""",208,1/29/1997
411,"Eriksson Ek, Olle  Eriksson Ek, Olle",ANA,G,"6'1""",180,6/22/1999
412,"Erne, Adam  Erne, Adam",TB,LW,"6'1""",214,4/20/1995
413,"Estephan, Giorgio  Estephan, Giorgio",TOR,C,"6'0""",196,2/03/1997
414,"Etem, Emerson  Etem, Emerson",LA,RW,"6'1""",212,6/16/1992
415,"Everberg, Dennis  Everberg, Dennis",FA,-,-,-,12/31/1991
416,"Eyssimont, Michael  Eyssimont, Michael",FA,-,-,-,9/09/1996
417,"Fabbri, Robby  Fabbri, Robby",STL,LW,"5'10""",190,1/22/1996
418,"Fabbro, Dante  Fabbro, Dante",NSH,D,"6'1""",193,6/20/1998
419,"Faksa, Radek  Faksa, Radek",DAL,C,"6'3""",220,1/09/1994
420,"Falk, Justin  Falk, Justin",OTT,D,"6'5""",224,10/11/1988
421,"Fantenberg, Oscar  Fantenberg, Oscar",CGY,D,"6'0""",206,10/07/1991
422,"Farnham, Bobby  Farnham, Bobby",FA,-,-,-,1/21/1989
423,"Fasching, Hudson  Fasching, Hudson",ARI,RW,"6'3""",205,7/28/1995
424,"Fast, Jesper  Fast, Jesper",NYR,RW,"6'1""",192,12/02/1991
425,"Faulk, Justin  Faulk, Justin",CAR,D,"6'0""",217,3/20/1992
426,"Fayne, Mark  Fayne, Mark",FA,-,-,-,5/15/1987
427,"Fazio, Justin  Fazio, Justin",DET,G,"6'1""",189,5/03/1997
428,"Fedun, Taylor  Fedun, Taylor",DAL,D,"6'1""",201,6/04/1988
429,"Fehervary, Martin  Fehervary, Martin",FA,-,-,-,10/06/1999
430,"Fehr, Eric  Fehr, Eric",MIN,C,"6'4""",209,9/07/1985
431,"Ferguson, Brady  Ferguson, Brady",TOR,LW,"6'0""",194,9/06/1994
432,"Ferguson, Dylan  Ferguson, Dylan",VGK,G,"6'1""",192,9/20/1998
433,"Ferland, Micheal  Ferland, Micheal",CAR,LW,"6'1""",217,4/20/1992
434,"Fiala, Kevin  Fiala, Kevin",MIN,LW,"5'10""",193,7/22/1996
435,"Filppula, Valtteri  Filppula, Valtteri",NYI,C,"6'0""",196,3/20/1984
436,"Fiore, Giovanni  Fiore, Giovanni",FA,-,-,-,8/13/1996
437,"Fischer, Christian  Fischer, Christian",ARI,RW,"6'2""",214,4/15/1997
438,"Fitzgerald, Gerry  Fitzgerald, Gerry",FA,-,-,-,8/26/1993
439,"Fitzgerald, Ryan  Fitzgerald, Ryan",BOS,C,"5'9""",172,10/19/1994
440,"Fitzpatrick, Evan  Fitzpatrick, Evan",STL,G,"6'3""",206,1/28/1998
441,"Fleury, Haydn  Fleury, Haydn",CAR,D,"6'3""",221,7/08/1996
442,"Fleury, Marc-Andre  Fleury, Marc-Andre",VGK,G,"6'2""",180,11/28/1984
443,"Flower, Walter  Flower, Walter",TB,D,"6'1""",163,5/07/1999
444,"Flynn, Brian  Flynn, Brian",STL,LW,"6'1""",183,7/26/1988
445,"Foegele, Warren  Foegele, Warren",CAR,LW,"6'2""",198,4/01/1996
446,"Fogarty, Steven  Fogarty, Steven",NYR,RW,"6'3""",212,4/19/1993
447,"Foley, Erik  Foley, Erik",STL,LW,"6'0""",185,6/30/1997
448,"Foligno, Marcus  Foligno, Marcus",MIN,LW,"6'3""",228,8/10/1991
449,"Foligno, Nick  Foligno, Nick",CBJ,LW,"6'0""",202,10/31/1987
450,"Folin, Christian  Folin, Christian",MTL,D,"6'3""",204,2/09/1991
451,"Fontaine, Gabriel  Fontaine, Gabriel",FA,-,-,-,4/30/1997
452,"Foo, Spencer  Foo, Spencer",CGY,RW,"6'0""",185,1/01/1994
453,"Foote, Callan  Foote, Callan",TB,D,"6'3""",209,12/13/1998
454,"Foote, Nolan  Foote, Nolan",TB,LW,"6'3""",187,11/29/2000
455,"Forbort, Derek  Forbort, Derek",LA,D,"6'4""",216,3/04/1992
456,"Forbort, Derek  Forbort, Derek",LA,D,"6'4""",219,3/04/1992
457,"Ford, Matthew  Ford, Matthew",FA,-,-,-,10/09/1984
458,"Formenton, Alex  Formenton, Alex",OTT,LW,"6'2""",174,9/13/1999
459,"Forney, Chris  Forney, Chris",ANA,D,"6'2""",200,11/20/1994
460,"Forsbacka Karlsson, Jakob  Forsbacka Karlsson, Jakob",BOS,C,"6'1""",184,10/31/1996
461,"Forsberg, Anton  Forsberg, Anton",CHI,G,"6'3""",192,11/27/1992
462,"Forsberg, Filip  Forsberg, Filip",NSH,LW,"6'1""",205,8/13/1994
463,"Forsling, Gustav  Forsling, Gustav",CAR,D,"6'0""",186,6/12/1996
464,"Fortier, Gabriel  Fortier, Gabriel",FA,-,-,-,2/06/2000
465,"Fortin, Alexandre  Fortin, Alexandre",CHI,C,"6'0""",172,2/25/1997
466,"Foudy, Liam  Foudy, Liam",FA,-,-,-,2/04/2000
467,"Fowler, Cam  Fowler, Cam",ANA,D,"6'2""",206,12/05/1991
468,"Francouz, Pavel  Francouz, Pavel",COL,G,"6'0""",179,6/03/1990
469,"Franklin, CJ  Franklin, CJ",WPG,LW,"0'0""",0,-
470,"Fraser, Cole  Fraser, Cole",DET,D,"6'2""",192,4/23/1999
471,"Frederic, Trent  Frederic, Trent",BOS,C,"6'2""",203,2/11/1998
472,"Friedman, Mark  Friedman, Mark",PHI,D,"5'10""",192,12/25/1995
473,"Fritz, Tanner  Fritz, Tanner",NYI,C,"5'11""",192,8/20/1991
474,"Frk, Martin  Frk, Martin",DET,RW,"6'1""",205,10/05/1993
475,"Froese, Byron  Froese, Byron",MTL,C,"6'1""",202,3/12/1991
476,"Frolik, Michael  Frolik, Michael",CGY,RW,"6'1""",190,2/17/1988
477,"Frost, Morgan  Frost, Morgan",FA,-,-,-,5/14/1999
478,"Fucale, Zachary  Fucale, Zachary",FA,-,-,-,5/28/1995
479,"Fulcher, Kaden  Fulcher, Kaden",DET,G,"6'3""",183,9/23/1998
480,"Fyten, Austin  Fyten, Austin",FA,-,-,-,5/03/1991
481,"Gaborik, Marian  Gaborik, Marian",OTT,LW,"6'1""",205,2/14/1982
482,"Gabriel, Kurtis  Gabriel, Kurtis",NJ,RW,"6'4""",212,4/20/1993
483,"Gabrielle, Jesse  Gabrielle, Jesse",BOS,LW,"5'11""",204,6/17/1997
484,"Gadjovich, Jonah  Gadjovich, Jonah",VAN,LW,"6'2""",201,10/12/1998
485,"Gagne, Gabriel  Gagne, Gabriel",FA,-,-,-,11/11/1996
486,"Gagner, Sam  Gagner, Sam",EDM,LW,"5'11""",200,8/10/1989
487,"Galchenyuk, Alex  Galchenyuk, Alex",ARI,C,"6'1""",207,2/12/1994
488,"Gallagher, Brendan  Gallagher, Brendan",MTL,RW,"5'9""",184,5/06/1992
489,"Gallant, Zachary  Gallant, Zachary",DET,C,"6'1""",185,3/06/1999
490,"Gambardella, Joe  Gambardella, Joe",EDM,C,"5'10""",196,12/01/1993
491,"Gambrell, Dylan  Gambrell, Dylan",SJ,C,"6'0""",195,8/26/1996
492,"Gardiner, Jake  Gardiner, Jake",TOR,D,"6'2""",203,7/04/1990
493,"Garland, Conor  Garland, Conor",ARI,RW,"5'10""",165,3/11/1996
494,"Garrison, Jason  Garrison, Jason",CHI,D,"6'1""",218,11/13/1984
495,"Gaudet, Tyler  Gaudet, Tyler",NSH,C,"6'3""",205,4/04/1993
496,"Gaudette, Adam  Gaudette, Adam",VAN,LW,"6'1""",184,10/03/1996
497,"Gaudreau, Frederick  Gaudreau, Frederick",NSH,C,"6'0""",179,5/01/1993
498,"Gaudreau, Johnny  Gaudreau, Johnny",CGY,LW,"5'9""",165,8/13/1993
499,"Gaunce, Brendan  Gaunce, Brendan",VAN,C,"6'2""",217,3/25/1994
500,"Gaunce, Cameron  Gaunce, Cameron",TB,D,"6'1""",210,3/19/1990
501,"Gauthier, Frederik  Gauthier, Frederik",TOR,C,"6'5""",235,4/26/1995
502,"Gauthier, Julien  Gauthier, Julien",FA,-,-,-,10/15/1997
503,"Gavrikov, Vladislav  Gavrikov, Vladislav",CBJ,D,"6'3""",205,11/21/1995
504,"Gawdin, Glenn  Gawdin, Glenn",CGY,C,"6'1""",191,3/25/1997
505,"Geekie, Morgan  Geekie, Morgan",FA,-,-,-,7/20/1998
506,"Geertsen, Mason  Geertsen, Mason",FA,-,-,-,4/19/1995
507,"Georgiev, Alexandar  Georgiev, Alexandar",NYR,G,"6'1""",179,2/10/1996
508,"Gerbe, Nathan  Gerbe, Nathan",FA,LW,"5'4""",176,7/24/1987
509,"Gersich, Shane  Gersich, Shane",WSH,C,"5'11""",175,7/10/1996
510,"Gettinger, Tim  Gettinger, Tim",NYR,LW,"6'6""",221,4/14/1998
511,"Getzlaf, Ryan  Getzlaf, Ryan",ANA,C,"6'4""",225,5/10/1985
512,"Gibbons, Brian  Gibbons, Brian",OTT,C,"5'8""",175,2/26/1988
513,"Gibson, Christopher  Gibson, Christopher",NYI,G,"6'1""",205,12/27/1992
514,"Gibson, John  Gibson, John",ANA,G,"6'2""",206,7/14/1993
515,"Gignac, Brandon  Gignac, Brandon",NJ,C,"5'11""",172,11/07/1997
516,"Gilbert, Dennis  Gilbert, Dennis",CHI,D,"6'2""",199,10/30/1996
517,"Gillies, Jon  Gillies, Jon",CGY,G,"6'5""",216,1/22/1994
518,"Gilmour, Brady  Gilmour, Brady",DET,C,"5'10""",170,4/18/1999
519,"Gilmour, John  Gilmour, John",NYR,D,"6'0""",195,5/17/1993
520,"Gionta, Brian  Gionta, Brian",BOS,RW,"5'7""",178,1/18/1979
521,"Gionta, Stephen  Gionta, Stephen",NYI,C,"5'6""",177,10/09/1983
522,"Giordano, Mark  Giordano, Mark",CGY,D,"6'1""",200,10/03/1983
523,"Girard, Samuel  Girard, Samuel",COL,D,"5'10""",162,5/12/1998
524,"Girardi, Dan  Girardi, Dan",TB,D,"6'1""",212,4/29/1984
525,"Girgensons, Zemgus  Girgensons, Zemgus",BUF,LW,"6'2""",207,1/05/1994
526,"Giroux, Claude  Giroux, Claude",PHI,C,"5'11""",185,1/12/1988
527,"Glass, Cody  Glass, Cody",FA,-,-,-,4/01/1999
528,"Glass, Jeff  Glass, Jeff",FA,-,-,-,11/19/1985
529,"Glass, Tanner  Glass, Tanner",CGY,LW,"6'1""",213,11/29/1983
530,"Gleason, Ben  Gleason, Ben",DAL,D,"6'1""",180,3/25/1998
531,"Glendening, Luke  Glendening, Luke",DET,C,"5'11""",192,4/28/1989
532,"Glotov, Vasily  Glotov, Vasily",BUF,C,"5'10""",175,9/04/1997
533,"Gogolev, Pavel  Gogolev, Pavel",DET,RW,"6'0""",165,2/19/2000
534,"Goldobin, Nikolay  Goldobin, Nikolay",VAN,LW,"5'11""",196,10/07/1995
535,"Goligoski, Alex  Goligoski, Alex",ARI,D,"5'11""",185,7/30/1985
536,"Golod, Maxim  Golod, Maxim",DET,LW,"5'10""",160,8/18/2000
537,"Goloubef, Cody  Goloubef, Cody",OTT,D,"6'1""",200,11/30/1989
538,"Goodrow, Barclay  Goodrow, Barclay",SJ,RW,"6'2""",215,2/26/1993
539,"Gordeev, Fedor  Gordeev, Fedor",TOR,D,"6'7""",227,1/27/1999
540,"Gorges, Josh  Gorges, Josh",BUF,D,"6'1""",204,8/14/1984
541,"Gostisbehere, Shayne  Gostisbehere, Shayne",PHI,D,"5'11""",180,4/20/1993
542,"Goulbourne, Tyrell  Goulbourne, Tyrell",PHI,LW,"6'0""",199,1/26/1994
543,"Gourde, Yanni  Gourde, Yanni",TB,C,"5'9""",172,12/15/1991
544,"Grabner, Michael  Grabner, Michael",ARI,RW,"6'1""",188,10/05/1987
545,"Grabovski, Mikhail  Grabovski, Mikhail",VGK,C,"5'11""",186,1/31/1984
546,"Graham, Jesse  Graham, Jesse",VAN,D,"6'0""",176,5/13/1994
547,"Granlund, Markus  Granlund, Markus",VAN,C,"6'0""",180,4/16/1993
548,"Granlund, Mikael  Granlund, Mikael",NSH,RW,"5'10""",185,2/26/1992
549,"Grant, Derek  Grant, Derek",ANA,C,"6'3""",215,4/20/1990
550,"Graovac, Tyler  Graovac, Tyler",CGY,C,"6'5""",208,4/27/1993
551,"Gravel, Kevin  Gravel, Kevin",EDM,D,"6'4""",211,3/06/1992
552,"Graves, Ryan  Graves, Ryan",COL,D,"6'5""",226,5/21/1995
553,"Greco, Anthony  Greco, Anthony",FLA,RW,"5'10""",172,9/30/1993
554,"Green, Mike  Green, Mike",DET,D,"6'1""",207,10/12/1985
555,"Greene, Andy  Greene, Andy",NJ,D,"5'11""",190,10/30/1982
556,"Greening, Colin  Greening, Colin",TOR,LW,"6'2""",210,3/09/1986
557,"Greenway, Jordan  Greenway, Jordan",MIN,LW,"6'6""",227,2/16/1997
558,"Greer, A.J.  Greer, A.J.",COL,LW,"6'3""",210,12/14/1996
559,"Gregoire, Jeremy  Gregoire, Jeremy",NSH,C,"6'0""",194,9/05/1995
560,"Greiss, Thomas  Greiss, Thomas",NYI,G,"6'2""",232,1/29/1986
561,"Grenier, Alexandre  Grenier, Alexandre",FA,-,-,-,9/05/1991
562,"Griffith, Seth  Griffith, Seth",FA,-,-,-,1/04/1993
563,"Grimaldi, Rocco  Grimaldi, Rocco",NSH,C,"5'6""",180,2/08/1993
564,"Groleau, Jeremy  Groleau, Jeremy",NJ,D,"6'2""",183,10/25/1999
565,"Gropp, Ryan  Gropp, Ryan",FA,-,-,-,9/16/1996
566,"Grosenick, Troy  Grosenick, Troy",NSH,G,"6'1""",185,8/27/1989
567,"Gross, Jordan  Gross, Jordan",FA,-,-,-,5/09/1995
568,"Groulx, Benoit-Olivier  Groulx, Benoit-Olivier",ANA,C,"6'1""",192,2/06/2000
569,"Grubauer, Philipp  Grubauer, Philipp",COL,G,"6'1""",191,11/25/1991
570,"Grundstrom, Carl  Grundstrom, Carl",LA,LW,"6'0""",201,12/01/1997
571,"Gryba, Eric  Gryba, Eric",NJ,D,"6'4""",222,4/14/1988
572,"Grzelcyk, Matt  Grzelcyk, Matt",BOS,D,"5'9""",174,1/05/1994
573,"Guay, Nicolas  Guay, Nicolas",DET,D,"5'11""",176,6/18/1999
574,"Gudas, Radko  Gudas, Radko",WSH,D,"6'0""",204,6/05/1990
575,"Gudbranson, Alexander  Gudbranson, Alexander",TOR,D,"6'2""",229,9/03/1994
576,"Gudbranson, Erik  Gudbranson, Erik",PIT,D,"6'5""",217,1/07/1992
577,"Guentzel, Jake  Guentzel, Jake",PIT,LW,"5'11""",180,10/06/1994
578,"Guhle, Brendan  Guhle, Brendan",ANA,D,"6'2""",197,7/29/1997
579,"Gunnarsson, Carl  Gunnarsson, Carl",STL,D,"6'2""",198,11/09/1986
580,"Gurianov, Denis  Gurianov, Denis",DAL,RW,"6'3""",195,6/07/1997
581,"Gusev, Nikita  Gusev, Nikita",VGK,LW,"5'11""",181,7/08/1992
582,"Gustafsson, Erik  Gustafsson, Erik",CHI,D,"6'0""",197,3/14/1992
583,"Gustavsson, Filip  Gustavsson, Filip",OTT,G,"6'2""",185,6/07/1998
584,"Hagelin, Carl  Hagelin, Carl",WSH,LW,"5'11""",186,8/23/1988
585,"Hagg, Robert  Hagg, Robert",PHI,D,"6'2""",204,2/08/1995
586,"Haggerty, Ryan  Haggerty, Ryan",FA,-,-,-,3/04/1993
587,"Hague, Nicolas  Hague, Nicolas",FA,-,-,-,12/05/1998
588,"Hainsey, Ron  Hainsey, Ron",TOR,D,"6'3""",205,3/24/1981
589,"Hajek, Libor  Hajek, Libor",NYR,D,"6'2""",196,2/04/1998
590,"Halak, Jaroslav  Halak, Jaroslav",BOS,G,"5'11""",185,5/13/1985
591,"Haley, Micheal  Haley, Micheal",SJ,C,"5'11""",205,3/30/1986
592,"Hall, Taylor  Hall, Taylor",NJ,LW,"6'1""",205,11/14/1991
593,"Hamhuis, Dan  Hamhuis, Dan",NSH,D,"6'1""",204,12/13/1982
594,"Hamilton, Dougie  Hamilton, Dougie",CAR,D,"6'6""",229,6/17/1993
595,"Hamilton, Freddie  Hamilton, Freddie",ARI,C,"6'1""",195,1/01/1992
596,"Hamilton, Trevor  Hamilton, Trevor",FA,-,-,-,3/17/1995
597,"Hamilton, Wacey  Hamilton, Wacey",VAN,C,"5'11""",182,9/10/1990
598,"Hammond, Andrew  Hammond, Andrew",COL,G,"6'2""",215,2/11/1988
599,"Hamonic, Travis  Hamonic, Travis",CGY,D,"6'2""",205,8/16/1990
600,"Hanifin, Noah  Hanifin, Noah",CGY,D,"6'3""",215,1/25/1997
601,"Hanley, Joel  Hanley, Joel",DAL,D,"5'11""",191,6/08/1991
602,"Hanna, Shane  Hanna, Shane",DAL,D,"5'11""",200,5/02/1994
603,"Hannikainen, Markus  Hannikainen, Markus",CBJ,LW,"6'1""",200,3/26/1993
604,"Hansen, Jannik  Hansen, Jannik",SJ,RW,"6'1""",198,3/15/1986
605,"Hansson, Niklas  Hansson, Niklas",DAL,D,"6'1""",185,1/08/1995
606,"Hanzal, Martin  Hanzal, Martin",DAL,C,"6'6""",230,2/20/1987
607,"Harkins, Jansen  Harkins, Jansen",FA,-,-,-,5/23/1997
608,"Harpur, Ben  Harpur, Ben",OTT,D,"6'6""",222,1/12/1995
609,"Harrington, Scott  Harrington, Scott",CBJ,D,"6'2""",207,3/10/1993
610,"Hart, Carter  Hart, Carter",PHI,G,"6'2""",181,8/13/1998
611,"Hartman, Ryan  Hartman, Ryan",DAL,RW,"6'0""",181,9/20/1994
612,"Hartnell, Scott  Hartnell, Scott",NSH,LW,"6'2""",215,4/18/1982
613,"Hathaway, Garnet  Hathaway, Garnet",CGY,RW,"6'2""",210,11/23/1991
614,"Haula, Erik  Haula, Erik",CAR,C,"6'0""",193,3/23/1991
615,"Hawryluk, Jayce  Hawryluk, Jayce",FLA,C,"5'11""",196,1/01/1996
616,"Hayden, John  Hayden, John",NJ,RW,"6'3""",215,2/14/1995
617,"Hayes, Jimmy  Hayes, Jimmy",NJ,RW,"6'5""",215,11/21/1989
618,"Hayes, Kevin  Hayes, Kevin",PHI,C,"6'5""",216,5/08/1992
619,"Hayton, Barrett  Hayton, Barrett",ARI,C,"6'1""",190,6/09/2000
620,"Healey, Josh  Healey, Josh",FA,-,-,-,7/12/1994
621,"Heatherington, Dillon  Heatherington, Dillon",DAL,D,"6'4""",225,5/09/1995
622,"Hebig, Cameron  Hebig, Cameron",FA,-,-,-,1/21/1997
623,"Hedman, Victor  Hedman, Victor",TB,D,"6'6""",223,12/18/1990
624,"Heed, Tim  Heed, Tim",SJ,D,"5'11""",180,1/27/1991
625,"Heinen, Danton  Heinen, Danton",BOS,C,"6'1""",188,7/05/1995
626,"Heiskanen, Miro  Heiskanen, Miro",DAL,D,"6'1""",185,7/18/1999
627,"Helewka, Adam  Helewka, Adam",NSH,LW,"6'2""",205,7/21/1995
628,"Helgeson, Seth  Helgeson, Seth",FA,-,-,-,10/08/1990
629,"Hellebuyck, Connor  Hellebuyck, Connor",WPG,G,"6'4""",207,5/19/1993
630,"Helm, Darren  Helm, Darren",DET,LW,"6'0""",196,1/21/1987
631,"Hemsky, Ales  Hemsky, Ales",MTL,RW,"6'0""",177,8/13/1983
632,"Hendricks, Matt  Hendricks, Matt",WPG,C,"6'0""",211,6/17/1981
633,"Henrique, Adam  Henrique, Adam",ANA,C,"6'0""",197,2/06/1990
634,"Henry, Nicholas  Henry, Nicholas",FA,-,-,-,7/04/1999
635,"Hertl, Tomas  Hertl, Tomas",SJ,C,"6'2""",215,11/12/1993
636,"Hicketts, Joe  Hicketts, Joe",DET,D,"5'8""",175,5/04/1996
637,"Hickey, Brandon  Hickey, Brandon",FA,-,-,-,4/13/1996
638,"Hickey, Thomas  Hickey, Thomas",NYI,D,"6'0""",183,2/08/1989
639,"Highmore, Matthew  Highmore, Matthew",CHI,RW,"5'11""",181,2/27/1996
640,"Hill, Adin  Hill, Adin",ARI,G,"6'6""",202,5/11/1996
641,"Hillman, Blake  Hillman, Blake",FA,-,-,-,1/26/1996
642,"Hinostroza, Vinnie  Hinostroza, Vinnie",ARI,C,"5'9""",173,4/03/1994
643,"Hintz, Roope  Hintz, Roope",DAL,LW,"6'3""",215,11/17/1996
644,"Hirose, Taro  Hirose, Taro",DET,LW,"5'10""",165,6/30/1996
645,"Hischier, Nico  Hischier, Nico",NJ,C,"6'1""",175,1/04/1999
